"","ObjID","feature","Indiv","GE","box","form_vessel","Pos","Verz","Notiz","site"
"121",351,"07/3","-1:34<U+0096>37","3-4","C3-1","1a","7 Unterteil","5 a","","03_Burials_Church"
"122",353,"07/3","-1:278<U+0096>306","3-9","C3-1","1a","0 unbekannt","2","horizontale Rillen/dazwischen 22mm Fischgräten + vertikale Ritzmuster","03_Burials_Church"
"123",353,"07/3","-1:278<U+0096>306","3-9","C3-1","1a","3 Oberteil","3","","03_Burials_Church"
"124",353,"07/3","-1:278<U+0096>306","3-9","C3-1","1a","3 Oberteil","16","2","03_Burials_Church"
"125",353,"07/3","-1:278<U+0096>306","3-9","C3-1","1a","3 Oberteil","1 a","","03_Burials_Church"
"126",353,"07/3","-1:278<U+0096>306","3-9","C3-1","1a","7 Unterteil","5 a","","03_Burials_Church"
"127",353,"07/3","-1:278<U+0096>306","3-9","C3-1","1a","3 Oberteil","8 b","2 Löcher/unterm 2 Rand 3 Rillen/25mm Fischgrätenmuster + vertikale Ritzlinien/darunter 6 Rillen/20mm Kreuzmuster","03_Burials_Church"
"128",355,"07/3","-1:148<U+0096>192","3-5","C3-1","1a","2 Rand","2","","03_Burials_Church"
"129",355,"07/3","-1:148<U+0096>192","3-5","C3-1","1a","3 Oberteil","2","","03_Burials_Church"
"130",355,"07/3","-1:148<U+0096>192","3-5","C3-1","1a","3 Oberteil","16","","03_Burials_Church"
"131",355,"07/3","-1:148<U+0096>192","3-5","C3-1","1a","2 Rand","1 a","","03_Burials_Church"
"132",355,"07/3","-1:148<U+0096>192","3-5","C3-1","1a","3 Oberteil","1 a","","03_Burials_Church"
"133",355,"07/3","-1:148<U+0096>192","3-5","C3-1","1a","2 Rand","1 b","","03_Burials_Church"
"134",355,"07/3","-1:148<U+0096>192","3-5","C3-1","1a","3 Oberteil","1 b","","03_Burials_Church"
"135",356,"07/3","-1:2<U+0096>6","3-6","C3-2","1a","3 Oberteil","2","","03_Burials_Church"
"136",356,"07/3","-1:2<U+0096>6","3-6","C3-2","1a","3 Oberteil","6","","03_Burials_Church"
"137",356,"07/3","-1:2<U+0096>6","3-6","C3-2","1a","3 Oberteil","16","","03_Burials_Church"
"138",356,"07/3","-1:2<U+0096>6","3-6","C3-2","1a","3 Oberteil","1 a","","03_Burials_Church"
"139",356,"07/3","-1:2<U+0096>6","3-6","C3-2","1a","2 Rand","1 a","","03_Burials_Church"
"140",356,"07/3","-1:2<U+0096>6","3-6","C3-2","1a","3 Oberteil","1 b","","03_Burials_Church"
"141",356,"07/3","-1:2<U+0096>6","3-6","C3-2","1a","7 Unterteil","5 a","","03_Burials_Church"
"142",358,"07/3","-1:125<U+0096>130","3-7","C3-2","1a","3 Oberteil","4","","03_Burials_Church"
